customer_id,name,age,satisfaction_rating,date_of_purchase,city
1,William Pepin,24,4,2024-08-04,Sheffield
2,James Sissel,45,2,2023-07-06,Leeds
3,Ming Stanley,61,3,2024-05-30,Leeds
4,Robert Taylor,19,4,2022-12-30,London
5,Ruth Webb,63,4,2023-03-09,Leeds
6,James Heer,58,4,2023-08-11,Liverpool
7,Delmer Fairchild,51,5,2022-12-29,Birmingham
8,Thomas Litke,34,4,2023-09-07,Birmingham
9,Edna Hughes,46,4,2024-08-26,London
10,Soledad Anderson,46,4,2023-06-07,Liverpool
11,Sheryl Guel,50,2,2023-11-29,Leeds
12,Cheryl Edgerly,42,5,2023-05-03,Sheffield
13,Edward Deleon,22,5,2023-03-12,Leeds
14,Michelle Weber,41,5,2023-11-19,Manchester
15,David Weckhorst,65,2,2023-12-07,Liverpool
16,Juan Mansur,58,4,2024-01-03,Liverpool
17,Loretta Styer,19,4,2024-02-10,Birmingham
18,Mary Bragg,29,4,2022-12-11,Sheffield
19,Robert Lacosse,30,2,2023-07-31,Liverpool
20,Tony Smith,57,3,2024-05-16,Liverpool
21,Keith Jones,50,5,2023-01-03,Sheffield
22,Arthur Reed,46,5,2023-07-19,Leeds
23,Barbara Womack,52,4,2024-03-31,London
24,Traci Mayher,30,4,2022-12-12,Liverpool
25,Emily Thao,48,4,2023-09-25,York
26,Heather Boling,59,5,2023-05-04,Sheffield
27,Alonzo Blumenstock,20,5,2024-05-28,Manchester
28,Susan Dobson,30,1,2024-05-04,Birmingham
29,Edward Cagle,43,4,2024-07-28,Liverpool
30,Richard White,23,3,2022-12-02,Liverpool
31,Steven Goins,54,2,2022-11-07,Manchester
32,Oscar Williams,29,4,2024-02-22,Manchester
33,Mary Torres,48,5,2024-02-02,London
34,Jean White,23,3,2024-03-23,York
35,Kevin Page,33,3,2024-09-30,Manchester
36,Diane Davis,47,5,2024-01-22,London
37,Brian Murdock,64,5,2024-01-21,Liverpool
38,Pearl Calhoun,25,3,2023-10-21,Birmingham
39,Richard Hayes,56,2,2024-10-02,Birmingham
40,Ana Woodbury,45,3,2023-06-23,Liverpool
41,Cindy Baker,28,3,2024-01-11,York
42,Lulu Green,22,4,2024-03-18,Leeds
43,Patricia Miller,50,4,2024-04-17,Manchester
44,Gary Simmons,37,4,2024-03-11,Birmingham
45,Louisa Walker,38,4,2022-12-06,Liverpool
46,Vanesa Hudson,47,4,2024-08-20,London
47,Jerry Boles,29,3,2023-12-23,Sheffield
48,Bonnie Barrio,23,3,2024-02-26,Manchester
49,Mark Stone,21,4,2023-05-19,Birmingham
50,Lawrence Vaden,31,5,2024-10-14,York
51,Wm Baier,29,5,2024-01-05,Birmingham
52,Louise Griffith,40,1,2024-01-07,Leeds
53,William Evans,31,5,2024-02-19,Leeds
54,Jaime Piner,52,2,2024-06-25,Liverpool
55,Regina Smith,31,3,2023-09-04,London
56,Karon Barnette,32,4,2023-06-03,Sheffield
57,Son Greaves,35,4,2023-09-29,Sheffield
58,Marcie Lavin,55,2,2023-05-26,York
59,Eugenia Mckoy,22,4,2023-12-04,Liverpool
60,Noah Murray,64,3,2023-04-15,London
61,Alan Krauss,45,4,2023-09-18,Sheffield
62,David Mckenzie,52,2,2022-11-23,Birmingham
63,Lisa Light,26,5,2024-02-25,York
64,Tami Sane,20,5,2023-10-23,Birmingham
65,Violet Williamson,58,5,2024-07-31,Manchester
66,Virginia Gardner,44,2,2023-05-06,Leeds
67,Michelle Jones,58,4,2024-08-26,Manchester
68,Margorie Weaver,60,2,2023-08-21,York
69,Benjamin Gelston,27,4,2023-04-18,Birmingham
70,Daniel Vandyke,48,3,2023-02-21,York
71,Ruby King,48,4,2023-10-17,Manchester
72,Scott Paynter,56,5,2024-10-10,York
73,Janet Barrera,64,3,2024-01-27,Leeds
74,Shawn Gross,20,5,2022-12-30,Leeds
75,Jean Palmer,56,4,2023-08-24,Liverpool
